117.16927339,39.10859472,-4.64,358.66,0.00
117.16927510,39.10859476,-4.67,358.66,0.64
117.16927654,39.10859473,-4.67,358.68,0.78
117.16927774,39.10859471,-4.66,358.70,0.97
117.16928064,39.10859466,-4.66,358.78,1.28
117.16928232,39.10859463,-4.66,358.83,1.39
117.16928414,39.10859459,-4.66,358.87,1.53
117.16928608,39.10859455,-4.66,358.94,1.64
117.16928812,39.10859452,-4.66,359.05,1.69
117.16929024,39.10859448,-4.66,359.18,1.75
117.16929237,39.10859442,-4.65,359.34,1.81
117.16929452,39.10859439,-4.65,359.54,1.81
117.16929666,39.10859436,-4.65,359.73,1.81
117.16930090,39.10859434,-4.65,0.05,1.81
117.16930298,39.10859434,-4.65,0.21,1.81
117.16930503,39.10859434,-4.65,0.34,1.78
117.16930706,39.10859435,-4.65,0.43,1.75
117.16930907,39.10859436,-4.65,0.49,1.72
117.16931104,39.10859438,-4.65,0.53,1.69
117.16931297,39.10859442,-4.66,0.50,1.67
117.16931490,39.10859444,-4.66,0.43,1.67
117.16931781,39.10859445,-4.66,0.32,1.67
117.16932178,39.10859444,-4.66,0.19,1.67
117.16932378,39.10859444,-4.66,0.11,1.69
117.16932579,39.10859443,-4.66,0.05,1.69
117.16932779,39.10859444,-4.66,0.03,1.69
117.16932979,39.10859449,-4.65,0.01,1.69
117.16933181,39.10859452,-4.65,359.98,1.72
117.16933386,39.10859452,-4.65,359.96,1.75
117.16933593,39.10859452,-4.65,359.95,1.75
117.16933803,39.10859451,-4.65,359.93,1.75
117.16934013,39.10859451,-4.65,359.92,1.75
117.16934222,39.10859451,-4.65,359.94,1.75
117.16934432,39.10859451,-4.64,359.96,1.78
117.16934642,39.10859450,-4.64,359.98,1.81
117.16934854,39.10859449,-4.64,0.00,1.81
117.16935072,39.10859447,-4.65,0.02,1.81
117.16935294,39.10859446,-4.65,0.04,1.83
117.16935513,39.10859445,-4.65,0.05,1.83
117.16935731,39.10859444,-4.65,0.06,1.83
117.16935949,39.10859444,-4.65,0.05,1.83
117.16936164,39.10859444,-4.65,0.00,1.83
117.16936378,39.10859443,-4.65,359.91,1.81
