117.16885692,39.10750300,-4.73,91.05,0.00
117.16885687,39.10750425,-4.74,91.04,0.28
117.16885683,39.10750568,-4.74,91.04,0.50
117.16885680,39.10750684,-4.74,91.04,0.58
117.16885677,39.10750818,-4.74,91.04,0.69
117.16885673,39.10750967,-4.74,91.07,0.78
117.16885670,39.10751132,-4.74,91.12,0.86
117.16885668,39.10751322,-4.74,91.18,0.94
117.16885668,39.10751494,-4.74,91.26,1.00
117.16885661,39.10751706,-4.74,91.45,1.00
117.16885655,39.10751891,-4.74,91.67,1.06
117.16885651,39.10752005,-4.74,91.88,1.06
117.16885639,39.10752212,-4.74,92.28,1.14
117.16885632,39.10752334,-4.75,92.54,1.17
117.16885624,39.10752499,-4.75,92.97,1.25
117.16885609,39.10752720,-4.74,93.51,1.19
117.16885602,39.10752832,-4.74,93.79,1.19
117.16885580,39.10753065,-4.74,94.39,1.19
117.16885569,39.10753166,-4.75,94.65,1.22
117.16885556,39.10753280,-4.74,94.93,1.22
117.16885546,39.10753382,-4.75,95.20,1.25
117.16885531,39.10753523,-4.75,95.58,1.28
117.16885516,39.10753628,-4.75,95.79,1.28
117.16885499,39.10753746,-4.75,96.12,1.28
117.16885479,39.10753873,-4.74,96.53,1.25
117.16885460,39.10753990,-4.74,96.76,1.25
117.16885446,39.10754094,-4.74,96.98,1.28
117.16885432,39.10754210,-4.73,97.32,1.28
117.16885417,39.10754337,-4.74,97.72,1.28
117.16885397,39.10754453,-4.74,98.00,1.33
117.16885376,39.10754561,-4.75,98.22,1.33
117.16885346,39.10754692,-4.76,98.50,1.33
117.16885322,39.10754811,-4.75,98.94,1.33
117.16885297,39.10754931,-4.74,99.28,1.33
117.16885275,39.10755039,-4.74,99.44,1.33
117.16885249,39.10755174,-4.74,99.78,1.33
117.16885225,39.10755295,-4.74,100.18,1.33
117.16885196,39.10755415,-4.74,100.48,1.33
117.16885161,39.10755549,-4.74,100.75,1.33
117.16885135,39.10755661,-4.74,101.07,1.36
117.16885105,39.10755784,-4.73,101.42,1.36
117.16885072,39.10755910,-4.74,101.69,1.39
