113.67976405,34.58657388,150.88,358.58,0.00
113.67976519,34.58657396,150.85,358.86,0.00
113.67976662,34.58657394,150.85,359.63,0.44
113.67976779,34.58657392,150.86,0.43,0.50
113.67976900,34.58657392,150.86,1.40,0.56
113.67977022,34.58657393,150.86,2.59,0.58
113.67977154,34.58657398,150.86,3.94,0.64
113.67977297,34.58657405,150.86,5.61,0.72
113.67977446,34.58657414,150.86,7.38,0.78
113.67977603,34.58657430,150.86,9.35,0.83
113.67977765,34.58657452,150.86,11.39,0.86
113.67977934,34.58657478,150.86,13.52,0.89
113.67978193,34.58657530,150.86,16.80,0.92
113.67978366,34.58657572,150.87,19.01,0.97
113.67978540,34.58657622,150.87,21.28,0.97
113.67978717,34.58657678,150.87,23.52,1.00
113.67978894,34.58657741,150.86,25.77,1.00
113.67979073,34.58657813,150.86,28.00,1.00
113.67979252,34.58657890,150.87,30.22,1.03
113.67979424,34.58657974,150.87,32.31,1.03
113.67979586,34.58658058,150.87,34.29,1.00
113.67979738,34.58658142,150.87,36.12,0.94
113.67979879,34.58658228,150.87,37.80,0.89
113.67980016,34.58658314,150.87,39.44,0.86
113.67980155,34.58658408,150.87,40.99,0.86
113.67980296,34.58658508,150.87,42.58,0.89
113.67980438,34.58658615,150.87,44.16,0.92
113.67980579,34.58658729,150.87,45.75,0.97
113.67980722,34.58658850,150.87,47.33,0.97
113.67980864,34.58658978,150.87,48.92,1.00
113.67981079,34.58659184,150.87,51.26,1.06
113.67981222,34.58659329,150.87,52.78,1.06
113.67981362,34.58659484,150.87,54.23,1.11
113.67981502,34.58659645,150.87,55.65,1.11
113.67981642,34.58659811,150.88,57.03,1.14
113.67981777,34.58659982,150.88,58.39,1.14
113.67981908,34.58660156,150.88,59.75,1.17
113.67982033,34.58660338,150.88,61.11,1.17
113.67982153,34.58660519,150.88,62.48,1.17
113.67982266,34.58660699,150.88,63.75,1.14
113.67982371,34.58660877,150.88,64.96,1.14
113.67982470,34.58661051,150.88,66.11,1.11
113.67982561,34.58661225,150.88,67.22,1.08
113.67982647,34.58661395,150.89,68.25,1.03
113.67982728,34.58661561,150.89,69.24,1.00
113.67982803,34.58661726,150.88,70.22,1.00
113.67982878,34.58661895,150.88,71.19,1.00
